Mix,Accuracy,,,Forwards (%),,,Deadlines met (%),,
,NO_PRED,AVERAGE_15,EWMA_0.25,NO_PRED,AVERAGE_15,EWMA_0.25,NO_PRED,AVERAGE_15,EWMA_0.25
CDG,-55.89,-0.38,2.21,68.40,68.37,68.66,95.06,95.53,95.45
CDH,-59.45,-3.98,-3.72,69.23,69.23,70.09,27.42,27.42,27.42
CDL,-56.05,0.10,2.90,67.85,67.92,67.92,95.78,96.19,96.19
CGH,-55.84,-0.14,2.94,68.38,68.31,68.46,100.00,100.00,100.00
CGL,-55.16,0.18,3.55,68.22,67.82,67.78,59.71,42.62,48.62
CHL,-55.99,0.23,3.63,67.87,67.57,67.57,100.00,100.00,100.00
DGH,-56.03,-0.47,2.44,68.40,68.46,68.52,94.98,95.43,95.35
DGL,-55.68,0.29,3.16,68.91,68.78,68.78,41.12,33.44,38.14
DHL,-56.22,0.22,2.70,67.95,67.84,67.99,95.39,95.80,95.80
GHL,-55.36,0.27,3.19,68.37,68.07,67.68,54.31,40.33,44.22
